target,arm,seed,returncode,valid_for_paper,validity_category,learn_status,train_f1,supported_precision,supported_recall,mean_runtime_seconds,elapsed_seconds,manifest,admitted,valid_cell
signatureSafeOverride,proof_strategy,0,0,True,ok,ok,1.0,,,,62.018,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_signatureSafeOverride_seed0_proof_strategy_manifest.json,1,1
signatureSafeOverride,heuristic,0,0,True,ok,ok,0.8235294117647058,,,,66.499,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_signatureSafeOverride_seed0_heuristic_manifest.json,1,1
signatureSafeOverride,graphrag,0,0,True,ok,ok,1.0,,,,132.562,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_signatureSafeOverride_seed0_graphrag_manifest.json,1,1
packageCallDependency,proof_strategy,0,0,True,ok,ok,1.0,,,,63.679,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_packageCallDependency_seed0_proof_strategy_manifest.json,1,1
packageCallDependency,heuristic,0,0,True,candidate_rejected,candidate_rejected,,,,,58.839,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_packageCallDependency_seed0_heuristic_manifest.json,0,1
packageCallDependency,graphrag,0,0,True,candidate_rejected,candidate_rejected,,,,,86.826,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_packageCallDependency_seed0_graphrag_manifest.json,0,1
interfaceOverride,proof_strategy,0,0,True,ok,ok,1.0,,,,61.957,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_interfaceOverride_seed0_proof_strategy_manifest.json,1,1
interfaceOverride,heuristic,0,0,True,ok,ok,1.0,,,,67.556,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_interfaceOverride_seed0_heuristic_manifest.json,1,1
interfaceOverride,graphrag,0,0,True,ok,ok,1.0,,,,214.858,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed0/manifests/hc_interfaceOverride_seed0_graphrag_manifest.json,1,1
signatureSafeOverride,proof_strategy,1,0,True,ok,ok,1.0,,,,64.311,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed1/manifests/hc_signatureSafeOverride_seed1_proof_strategy_manifest.json,1,1
signatureSafeOverride,heuristic,1,0,True,ok,ok,0.8505747126436781,,,,66.352,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed1/manifests/hc_signatureSafeOverride_seed1_heuristic_manifest.json,1,1
signatureSafeOverride,graphrag,1,0,True,ok,ok,1.0,,,,130.338,<ARTIFACT_ROOT>/artifacts/proof_strategy_agent/results/high_complexity_hard2_three_targets_seed1/manifests/hc_signatureSafeOverride_seed1_graphrag_manifest.json,1,1
