project,target,target_group,seed,method,model,admitted,learn_status,train_f1,train_precision,train_recall,best_candidate_f1,best_candidate_precision,best_candidate_recall,heldout_precision,heldout_recall,negative_non_support,inconclusive_rate,accuracy,runtime_seconds,proof_contract_scope,fresh_rerun_manifest,heldout_manifest,source_run,heldout_source,notes
Spring,canCallClass,canonical_architecture_relation,0,graphrag,deterministic,True,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,83.5116869060439,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed0_graphrag_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed0_graphrag_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,0,proof_strategy,proof_strategy_agent,True,ok,0.8095238095238095,1.0,0.68,0.8095238095238095,1.0,0.68,1.0,0.6866666666666666,1.0,0.7711111111111111,0.8955555555555555,75.74384691601153,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed0_agent_deterministic_top1_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed0_agent_deterministic_top1_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,0,typed_heuristic,deterministic,True,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,70.26666364498669,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed0_typed_heuristic_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed0_typed_heuristic_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,1,graphrag,deterministic,True,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,78.48218465299578,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed1_graphrag_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed1_graphrag_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,1,proof_strategy,proof_strategy_agent,True,ok,0.8095238095238095,1.0,0.68,0.8095238095238095,1.0,0.68,1.0,0.6866666666666666,1.0,0.7711111111111111,0.8955555555555555,74.24639922601636,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed1_agent_deterministic_top1_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed1_agent_deterministic_top1_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,1,typed_heuristic,deterministic,True,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,69.60173076600768,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed1_typed_heuristic_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed1_typed_heuristic_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,2,graphrag,deterministic,True,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,73.86596300499514,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed2_graphrag_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed2_graphrag_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,2,proof_strategy,proof_strategy_agent,False,candidate_rejected,0.7654320987654321,1.0,0.62,0.7654320987654321,1.0,0.62,0.0,0.0,1.0,1.0,0.6666666666666666,71.84303852397716,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed2_agent_deterministic_top1_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed2_agent_deterministic_top1_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,canCallClass,canonical_architecture_relation,2,typed_heuristic,deterministic,True,ok,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,70.03363218804589,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_canCallClass_train50_100_seed2_typed_heuristic_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_canCallClass_train50_100_seed2_typed_heuristic_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
Spring,isAllowedToUse,canonical_architecture_relation,0,graphrag,deterministic,True,ok,0.9361702127659575,1.0,0.88,0.9361702127659575,1.0,0.88,1.0,0.82,1.0,0.7266666666666667,0.94,381.5674488830264,learn/admission rerun; held-out metrics reused,artifacts/paper_final_icse2027/results/final_suite_20260627_unified_p0a_learn_only/manifests/spring_isAllowedToUse_train50_100_seed0_graphrag_manifest.json,<RESULTS_ROOT>/final_suite_20260626_core_qwen_main/manifests/spring_isAllowedToUse_train50_100_seed0_graphrag_manifest.json,final_suite_20260627_unified_p0a_learn_only,verified_suite_20260627,query-level proof search skipped in rerun because full Spring proof materialization is high-cost
