manifest,split_name,task_dir,seed,guide_provider,min_path_support,max_path_queries,paper_valid,validity_category,learn_status,train_f1,train_precision,train_recall,final_rule,path_programs_proposed,candidate_count,heldout_accuracy,heldout_precision,heldout_recall,unsupported_recall,inconclusive_rate,false_supported_negatives,learn_elapsed_seconds,reason_stage_elapsed_seconds,proof_search_total_seconds,end_to_end_seconds,adjacency_seconds,constraint_index_seconds,retrieval_seconds,candidate_compile_seconds,retriever_total_seconds
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_canCallClass_train50_100_seed0_graphrag_support2_manifest.json,spring_canCallClass_train50_100_seed0_graphrag_support2,external-data/spring/spring_nshrl_canCallClass,0,graphrag,2,,True,ok,ok,1.0,1.0,1.0,"canCallClass(A,B) :- containsMethod(A,V1),callsMethod(V1,V2),containsMethod(B,V2) [0.944].",0,,1.0,1.0,1.0,1.0,0.0,0,70.42377028102055,60.22239165985957,0.18400688096880913,190.89678646996617,0.911547,0.06781,5.024277,0.000487,6.004221
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_canCallClass_train50_100_seed1_graphrag_support2_manifest.json,spring_canCallClass_train50_100_seed1_graphrag_support2,external-data/spring/spring_nshrl_canCallClass,1,graphrag,2,,True,ok,ok,1.0,1.0,1.0,"canCallClass(A,B) :- containsMethod(A,V1),callsMethod(V1,V2),containsMethod(B,V2) [0.944].",0,,1.0,1.0,1.0,1.0,0.0,0,75.25502796820365,60.21752777788788,0.19307749927975237,196.35002656606957,0.909894,0.067533,9.534784,0.000415,10.512727
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_canCallClass_train50_100_seed2_graphrag_support2_manifest.json,spring_canCallClass_train50_100_seed2_graphrag_support2,external-data/spring/spring_nshrl_canCallClass,2,graphrag,2,,True,ok,ok,1.0,1.0,1.0,"canCallClass(A,B) :- containsMethod(A,V1),callsMethod(V1,V2),containsMethod(B,V2) [0.944].",0,,1.0,1.0,1.0,1.0,0.0,0,77.63405177602544,61.31705748895183,0.1790177954826504,199.64410008583218,1.144961,0.089333,5.228875,0.000493,6.463765
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_isAllowedToUse_train50_100_seed0_graphrag_support2_manifest.json,spring_isAllowedToUse_train50_100_seed0_graphrag_support2,external-data/spring/spring_nshrl_isAllowedToUse,0,graphrag,2,,True,ok,ok,0.9361702127659575,1.0,0.88,"isAllowedToUse(A,B) :- containsClass(A,V1),importsClass(V1,V2),containsClass(B,V2) [0.893].",0,,0.94,1.0,0.82,1.0,0.06,0,176.9577296769712,61.38352912082337,0.9128203634172678,298.9216116380412,0.937828,0.068019,111.832278,0.000432,112.838668
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_isAllowedToUse_train50_100_seed1_graphrag_support2_manifest.json,spring_isAllowedToUse_train50_100_seed1_graphrag_support2,external-data/spring/spring_nshrl_isAllowedToUse,1,graphrag,2,,True,ok,ok,0.924731182795699,1.0,0.86,"isAllowedToUse(A,B) :- containsClass(A,V1),importsClass(V1,V2),containsClass(B,V2) [0.884].",0,,0.9422222222222222,1.0,0.8266666666666667,1.0,0.057777777777777775,0,113.52348404889926,62.309165487997234,0.8847216726280749,236.50016879686154,1.08218,0.078741,43.820931,0.000402,44.982377
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_isAllowedToUse_train50_100_seed2_graphrag_support2_manifest.json,spring_isAllowedToUse_train50_100_seed2_graphrag_support2,external-data/spring/spring_nshrl_isAllowedToUse,2,graphrag,2,,True,ok,ok,0.924731182795699,1.0,0.86,"isAllowedToUse(A,B) :- containsClass(A,V1),importsClass(V1,V2),containsClass(B,V2) [0.884].",0,,0.9422222222222222,1.0,0.8266666666666667,1.0,0.057777777777777775,0,106.56947707687505,61.531776800053194,0.9741151386406273,228.68529850896448,0.915726,0.067741,40.606684,0.000383,41.590639
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_overridesMethod_train50_100_seed0_graphrag_support2_manifest.json,spring_overridesMethod_train50_100_seed0_graphrag_support2,external-data/spring/spring_nshrl_overridesMethod,0,graphrag,2,,True,ok,ok,1.0,1.0,1.0,"overridesMethod(A,B) :- containsMethod(V1,A),inheritsClass(V1,V2),containsMethod(V2,B),methodName(A,C1),methodName(B,C1),methodArity(A,C2),methodArity(B,C2) [0.944].",0,,1.0,1.0,1.0,1.0,0.0,0,92.69493827712722,60.5331273721531,0.04734563757665455,213.98108086711727,0.933896,0.114783,12.771031,0.001397,13.821227
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_overridesMethod_train50_100_seed1_graphrag_support2_manifest.json,spring_overridesMethod_train50_100_seed1_graphrag_support2,external-data/spring/spring_nshrl_overridesMethod,1,graphrag,2,,True,ok,ok,1.0,1.0,1.0,"overridesMethod(A,B) :- containsMethod(V1,A),inheritsClass(V1,V2),containsMethod(V2,B),methodName(A,C2),methodName(B,C2) [0.944].",0,,0.9977777777777778,0.9933774834437086,1.0,0.9966666666666667,0.0,1,106.74879840598442,62.48144259513356,0.041490303352475166,233.72773389006034,0.920578,0.114287,26.897803,0.001393,27.934178
artifacts/icse_revision_20260620/e1_matched_graphrag/spring/manifests/spring_overridesMethod_train50_100_seed2_graphrag_support2_manifest.json,spring_overridesMethod_train50_100_seed2_graphrag_support2,external-data/spring/spring_nshrl_overridesMethod,2,graphrag,2,,True,ok,ok,1.0,1.0,1.0,"overridesMethod(A,B) :- containsMethod(V1,A),inheritsClass(V1,V2),containsMethod(V2,B),methodName(A,C1),methodName(B,C1) [0.944].",0,,0.9977777777777778,0.9933774834437086,1.0,0.9966666666666667,0.0,1,99.80493830493651,60.56398528092541,0.041039630537852645,221.39229324110784,0.945174,0.114487,19.779851,0.001412,20.841039
artifacts/icse_revision_20260620/e1_matched_graphrag/teammates_clean9/manifests/teammates_canCallClass_mid_clean_seed0_graphrag_support2_manifest.json,teammates_canCallClass_mid_clean_seed0_graphrag_support2,external-data/teammates/canCallClass/mid/clean,0,graphrag,2,,True,ok,ok,1.0,1.0,1.0,"canCallClass(A,B) :- containsMethod(A,V1),callsMethod(V1,V2),containsMethod(B,V2) [0.944].",0,,1.0,1.0,1.0,1.0,0.0,0,0.9864042000845075,0.44706335896626115,0.16488776821643114,1.817232450004667,0.011478,0.00024,0.342528,0.000549,0.354867
