manifest,split_name,task_dir,seed,guide_provider,min_path_support,max_path_queries,paper_valid,validity_category,learn_status,train_f1,train_precision,train_recall,final_rule,path_programs_proposed,candidate_count,heldout_accuracy,heldout_precision,heldout_recall,unsupported_recall,inconclusive_rate,false_supported_negatives,learn_elapsed_seconds,reason_stage_elapsed_seconds,proof_search_total_seconds,end_to_end_seconds,adjacency_seconds,constraint_index_seconds,retrieval_seconds,candidate_compile_seconds,retriever_total_seconds
artifacts/icse_revision_20260620/e2_portfolio_k/k1/manifests/spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k1_manifest.json,spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k1,external-data/spring/spring_nshrl_canCallClass,0,agent,1,1,True,ok,ok,0.8095238095238095,1.0,0.68,"canCallClass(A,B) :- importsClass(A,B) [0.814].",1,1,0.8955555555555555,1.0,0.6866666666666666,1.0,0.10444444444444445,0,106.7954987201374,60.24726196099073,0.014404868241399527,167.17483908799477,0.834648,0.068458,0.000129,0.000253,0.903567
artifacts/icse_revision_20260620/e2_portfolio_k/k1/manifests/spring_isAllowedToUse_train50_100_seed0_agent_strict_qwen27b_k1_manifest.json,spring_isAllowedToUse_train50_100_seed0_agent_strict_qwen27b_k1,external-data/spring/spring_nshrl_isAllowedToUse,0,agent,1,1,True,ok,ok,0.9361702127659575,1.0,0.88,"isAllowedToUse(A,B) :- containsClass(A,V1),importsClass(V1,V2),containsClass(B,V2) [0.924].",1,1,0.94,1.0,0.82,1.0,0.06,0,111.90680131991394,62.147982663009316,0.9086051133926958,174.18942442699336,1.133829,0.093539,0.009011,0.001078,1.237671
artifacts/icse_revision_20260620/e2_portfolio_k/k1/manifests/spring_overridesMethod_train50_100_seed0_agent_strict_qwen27b_k1_manifest.json,spring_overridesMethod_train50_100_seed0_agent_strict_qwen27b_k1,external-data/spring/spring_nshrl_overridesMethod,0,agent,1,1,True,ok,ok,1.0,1.0,1.0,"overridesMethod(A,B) :- containsMethod(V1,A),inheritsClass(V1,V2),containsMethod(V2,B),methodName(A,C1),methodName(B,C1),methodArity(A,C2),methodArity(B,C2) [0.980].",1,4,1.0,1.0,1.0,1.0,0.0,0,87.62748433207162,61.80540150008164,0.047282339772209525,149.56528703309596,1.136307,0.157541,0.000352,0.000549,1.29486
artifacts/icse_revision_20260620/e2_portfolio_k/k2/manifests/spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k2_manifest.json,spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k2,external-data/spring/spring_nshrl_canCallClass,0,agent,1,2,True,ok,ok,0.8095238095238095,1.0,0.68,"canCallClass(A,B) :- importsClass(A,B) [0.814].",2,2,0.8955555555555555,1.0,0.6866666666666666,1.0,0.10444444444444445,0,108.24352240399458,62.3503202078864,0.01439099945127964,170.72916687186807,1.185606,0.093204,0.002319,0.000339,1.281569
artifacts/icse_revision_20260620/e2_portfolio_k/k2/manifests/spring_isAllowedToUse_train50_100_seed0_agent_strict_qwen27b_k2_manifest.json,spring_isAllowedToUse_train50_100_seed0_agent_strict_qwen27b_k2,external-data/spring/spring_nshrl_isAllowedToUse,0,agent,1,2,True,ok,ok,0.9361702127659575,1.0,0.88,"isAllowedToUse(A,B) :- containsClass(A,V1),importsClass(V1,V2),containsClass(B,V2) [0.924].",2,2,0.94,1.0,0.82,1.0,0.06,0,109.9245681411121,62.31684425496496,0.9227743027731776,172.3750711090397,1.19971,0.099893,0.008788,0.0004,1.308898
artifacts/icse_revision_20260620/e2_portfolio_k/k2/manifests/spring_overridesMethod_train50_100_seed0_agent_strict_qwen27b_k2_manifest.json,spring_overridesMethod_train50_100_seed0_agent_strict_qwen27b_k2,external-data/spring/spring_nshrl_overridesMethod,0,agent,1,2,True,ok,ok,1.0,1.0,1.0,"overridesMethod(A,B) :- containsMethod(V1,A),inheritsClass(V1,V2),containsMethod(V2,B),methodArity(A,C1),methodArity(B,C1),methodName(A,C2),methodName(B,C2) [0.980].",2,8,1.0,1.0,1.0,1.0,0.0,0,86.39514175616205,61.90109904296696,0.04875999805517495,148.42842413508333,1.048943,0.144,0.000304,0.00059,1.193941
artifacts/icse_revision_20260620/e2_portfolio_k/k3/manifests/spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k3_manifest.json,spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k3,external-data/spring/spring_nshrl_canCallClass,0,agent,1,3,True,ok,ok,0.8095238095238095,1.0,0.68,"canCallClass(A,B) :- importsClass(A,B) [0.814].",3,2,0.8955555555555555,1.0,0.6866666666666666,1.0,0.10444444444444445,0,107.42605663789436,60.58331791590899,0.014297238551080227,168.14312081993558,1.135458,0.094493,0.002348,0.00033,1.232723
artifacts/icse_revision_20260620/e2_portfolio_k/k3/manifests/spring_isAllowedToUse_train50_100_seed0_agent_strict_qwen27b_k3_manifest.json,spring_isAllowedToUse_train50_100_seed0_agent_strict_qwen27b_k3,external-data/spring/spring_nshrl_isAllowedToUse,0,agent,1,3,True,ok,ok,0.9361702127659575,1.0,0.88,"isAllowedToUse(A,B) :- containsClass(A,V1),importsClass(V1,V2),containsClass(B,V2) [0.924].",3,3,0.94,1.0,0.82,1.0,0.06,0,109.75728600099683,64.1839723419398,0.9044013146776706,174.0744727421552,1.153484,0.094755,0.007642,0.000363,1.256345
artifacts/icse_revision_20260620/e2_portfolio_k/k3/manifests/spring_overridesMethod_train50_100_seed0_agent_strict_qwen27b_k3_manifest.json,spring_overridesMethod_train50_100_seed0_agent_strict_qwen27b_k3,external-data/spring/spring_nshrl_overridesMethod,0,agent,1,3,True,ok,ok,1.0,1.0,1.0,"overridesMethod(A,B) :- containsMethod(V1,A),inheritsClass(V1,V2),containsMethod(V2,B),methodName(A,C1),methodName(B,C1),methodArity(A,C2),methodArity(B,C2) [0.980].",3,12,1.0,1.0,1.0,1.0,0.0,0,85.03566384501755,61.37185178906657,0.04728345084004104,146.51569127314724,0.907422,0.125927,0.000297,0.0007,1.034439
artifacts/icse_revision_20260620/e2_portfolio_k/k4/manifests/spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k4_manifest.json,spring_canCallClass_train50_100_seed0_agent_strict_qwen27b_k4,external-data/spring/spring_nshrl_canCallClass,0,agent,1,4,True,ok,ok,1.0,1.0,1.0,"canCallClass(A,B) :- containsMethod(A,V1),callsMethod(V1,V2),containsMethod(B,V2) [0.980].",4,3,1.0,1.0,1.0,1.0,0.0,0,84.72872174787335,60.804822373902425,0.18128734454512596,145.6667327778414,1.207578,0.093262,0.002436,0.000373,1.303741
